Isolate,Date,Transfer,Replicate,Salt,OD600_24h
TR_01,07/24/24,PLATE,ORIG,18,1.77
TR_02,07/24/24,PLATE,ORIG,18,1.82
TR_03,07/24/24,PLATE,ORIG,18,1.77
TR_01,07/25/24,ONE,ORIG,18,2.5
TR_02,07/25/24,ONE,ORIG,18,2.5
TR_03,07/25/24,ONE,ORIG,18,2.5
TR_01,07/25/24,ONE,A,12,2.5
TR_01,07/25/24,ONE,B,12,2.5
TR_01,07/25/24,ONE,C,12,2.5
TR_01,07/25/24,ONE,A,15,2.5
TR_01,07/25/24,ONE,B,15,2.5
TR_01,07/25/24,ONE,C,15,2.5
TR_01,07/25/24,ONE,A,18,2.5
TR_01,07/25/24,ONE,B,18,2.48
TR_01,07/25/24,ONE,C,18,2.5
TR_01,07/25/24,ONE,A,21,2
TR_01,07/25/24,ONE,B,21,1.81
TR_01,07/25/24,ONE,C,21,1.77
TR_01,07/25/24,ONE,A,24,1.23
TR_01,07/25/24,ONE,B,24,1.18
TR_01,07/25/24,ONE,C,24,1.19
TR_02,07/25/24,ONE,A,12,2.5
TR_02,07/25/24,ONE,B,12,2.5
TR_02,07/25/24,ONE,C,12,2.5
TR_02,07/25/24,ONE,A,15,2.5
TR_02,07/25/24,ONE,B,15,2.5
TR_02,07/25/24,ONE,C,15,2.5
TR_02,07/25/24,ONE,A,18,2.32
TR_02,07/25/24,ONE,B,18,2.37
TR_02,07/25/24,ONE,C,18,2.41
TR_02,07/25/24,ONE,A,21,1.88
TR_02,07/25/24,ONE,B,21,1.85
TR_02,07/25/24,ONE,C,21,1.71
TR_02,07/25/24,ONE,A,24,1.11
TR_02,07/25/24,ONE,B,24,1.24
TR_02,07/25/24,ONE,C,24,1.1
TR_03,07/25/24,ONE,A,12,2.5
TR_03,07/25/24,ONE,B,12,2.5
TR_03,07/25/24,ONE,C,12,2.5
TR_03,07/25/24,ONE,A,15,2.46
TR_03,07/25/24,ONE,B,15,2.45
TR_03,07/25/24,ONE,C,15,2.46
TR_03,07/25/24,ONE,A,18,2.35
TR_03,07/25/24,ONE,B,18,2.35
TR_03,07/25/24,ONE,C,18,2.4
TR_03,07/25/24,ONE,A,21,1.65
TR_03,07/25/24,ONE,B,21,1.61
TR_03,07/25/24,ONE,C,21,1.55
TR_03,07/25/24,ONE,A,24,0.969
TR_03,07/25/24,ONE,B,24,0.927
TR_03,07/25/24,ONE,C,24,1.01
TR_01,07/26/24,TWO,A,12,2.5
TR_01,07/26/24,TWO,B,12,2.5
TR_01,07/26/24,TWO,C,12,2.5
TR_01,07/26/24,TWO,A,15,2.5
TR_01,07/26/24,TWO,B,15,2.5
TR_01,07/26/24,TWO,C,15,2.5
TR_01,07/26/24,TWO,A,18,2.48
TR_01,07/26/24,TWO,B,18,2.48
TR_01,07/26/24,TWO,C,18,2.46
TR_01,07/26/24,TWO,A,21,1.83
TR_01,07/26/24,TWO,B,21,1.65
TR_01,07/26/24,TWO,C,21,1.75
TR_01,07/26/24,TWO,A,24,1.06
TR_01,07/26/24,TWO,B,24,0.906
TR_01,07/26/24,TWO,C,24,0.942
TR_02,07/26/24,TWO,A,12,2.5
TR_02,07/26/24,TWO,B,12,2.5
TR_02,07/26/24,TWO,C,12,2.5
TR_02,07/26/24,TWO,A,15,2.5
TR_02,07/26/24,TWO,B,15,2.5
TR_02,07/26/24,TWO,C,15,2.5
TR_02,07/26/24,TWO,A,18,2.48
TR_02,07/26/24,TWO,B,18,2.42
TR_02,07/26/24,TWO,C,18,2.46
TR_02,07/26/24,TWO,A,21,1.73
TR_02,07/26/24,TWO,B,21,1.7
TR_02,07/26/24,TWO,C,21,1.73
TR_02,07/26/24,TWO,A,24,1.08
TR_02,07/26/24,TWO,B,24,0.963
TR_02,07/26/24,TWO,C,24,0.943
TR_03,07/26/24,TWO,A,12,2.5
TR_03,07/26/24,TWO,B,12,2.5
TR_03,07/26/24,TWO,C,12,2.5
TR_03,07/26/24,TWO,A,15,2.5
TR_03,07/26/24,TWO,B,15,2.5
TR_03,07/26/24,TWO,C,15,2.5
TR_03,07/26/24,TWO,A,18,2.46
TR_03,07/26/24,TWO,B,18,2.46
TR_03,07/26/24,TWO,C,18,2.48
TR_03,07/26/24,TWO,A,21,1.53
TR_03,07/26/24,TWO,B,21,1.59
TR_03,07/26/24,TWO,C,21,1.44
TR_03,07/26/24,TWO,A,24,0.969
TR_03,07/26/24,TWO,B,24,0.819
TR_03,07/26/24,TWO,C,24,0.987
